Package,Version,Ecosystem
@antv/matrix-util,= 3.1.4 || = 3.2.4,npm
@antv/mcp-server-antv,= 0.2.8 || = 0.3.8,npm
@antv/mcp-server-chart,= 0.10.10 || = 0.11.10,npm
@antv/my-f2,= 2.2.7 || = 2.3.7,npm
@antv/my-f2-pc,= 0.2.1 || = 0.3.1,npm
@antv/narrative-text-editor,= 0.3.20 || = 0.4.20,npm
@antv/narrative-text-schema,= 0.4.7 || = 0.5.7,npm
@antv/narrative-text-vis,= 0.4.16 || = 0.5.16,npm
@antv/path-util,= 3.1.1 || = 3.2.1,npm
@antv/react-g,= 2.2.1 || = 2.3.1,npm
@antv/s2,= 2.8.1 || = 2.9.1,npm
@antv/s2-react,= 2.4.1 || = 2.5.1,npm
@antv/s2-react-components,= 2.2.2 || = 2.3.2,npm
@antv/s2-ssr,= 0.2.1 || = 0.3.1,npm
@antv/s2-vue,= 2.3.0 || = 2.4.0,npm
@antv/sam,= 0.3.0 || = 0.4.0,npm
@antv/scale,= 0.6.2 || = 0.7.2,npm
@antv/semantic-release-pnpm,= 1.1.4 || = 1.2.4,npm
@antv/smart-color,= 0.3.1 || = 0.4.1,npm
@antv/stat,= 0.1.2 || = 0.2.2,npm
@antv/t8,= 0.4.0 || = 0.5.0,npm
@antv/thumbnails,= 2.1.0 || = 2.2.0,npm
@antv/thumbnails-component,= 2.1.0 || = 2.2.0,npm
@antv/torch,= 1.1.6 || = 1.2.6,npm
@antv/translator,= 1.1.1 || = 1.2.1,npm
@antv/util,= 3.4.11 || = 3.5.11,npm
@antv/vendor,= 1.1.11 || = 1.2.11,npm
@antv/vis-predict-engine,= 0.2.1 || = 0.3.1,npm
@antv/webgpu-graph,= 1.1.0 || = 1.2.0,npm
@antv/word-scale-chart,= 0.4.4 || = 0.5.4,npm
@antv/wx-f2,= 2.2.1 || = 2.3.1,npm
@antv/x6,= 3.2.7 || = 3.3.7,npm
@antv/x6-angular-shape,= 3.1.1 || = 3.2.1,npm
@antv/x6-common,= 2.1.17 || = 2.2.17,npm
@antv/x6-components,= 0.11.7 || = 0.12.7,npm
@antv/x6-geometry,= 2.1.5 || = 2.2.5,npm
@antv/x6-plugin-clipboard,= 2.2.6 || = 2.3.6,npm
@antv/x6-plugin-dnd,= 2.2.1 || = 2.3.1,npm
@antv/x6-plugin-export,= 2.2.6 || = 2.3.6,npm
@antv/x6-plugin-history,= 2.3.4 || = 2.4.4,npm
@antv/x6-plugin-keyboard,= 2.3.3 || = 2.4.3,npm
@antv/x6-plugin-minimap,= 2.1.7 || = 2.2.7,npm
@antv/x6-plugin-scroller,= 2.1.10 || = 2.2.10,npm
@antv/x6-plugin-selection,= 2.3.2 || = 2.4.2,npm
@antv/x6-plugin-snapline,= 2.2.7 || = 2.3.7,npm
@antv/x6-plugin-stencil,= 2.2.5 || = 2.3.5,npm
@antv/x6-plugin-transform,= 2.2.8 || = 2.3.8,npm
@antv/x6-react,= 0.2.26 || = 0.3.26,npm
@antv/x6-react-components,= 2.1.9 || = 2.2.9,npm
@antv/x6-react-shape,= 3.1.1 || = 3.2.1,npm
@antv/x6-vector,= 1.5.2 || = 1.6.2,npm
@antv/x6-vue-shape,= 3.1.2 || = 3.2.2,npm
@antv/x6-vue3-shape,= 1.1.0 || = 1.2.0,npm
@antv/xflow,= 2.2.13 || = 2.3.13,npm
@antv/xflow-core,= 1.1.55 || = 1.2.55,npm
@antv/xflow-diff,= 1.1.0 || = 1.2.0,npm
@antv/xflow-extension,= 1.1.55 || = 1.2.55,npm
@antv/xflow-hook,= 1.1.55 || = 1.2.55,npm
@lint-md/cli,= 2.1.0 || = 2.2.0,npm
@lint-md/core,= 2.1.0 || = 2.2.0,npm
@lint-md/parser,= 0.1.14 || = 0.2.14,npm
@openclaw-cn/cli,= 1.4.1,npm
@openclaw-cn/feishu,= 0.2.11,npm
@openclaw-cn/libsignal,= 2.1.1,npm
@openclaw-cn/toutiao-ops,= 1.2.4,npm
@starmind/collector-cli,= 0.3.10,npm
ai-figure,= 0.5.0 || = 0.6.0,npm
amapcn,= 0.2.2 || = 0.3.2,npm
ast-plugin,= 0.1.7 || = 0.2.7,npm
babel-plugin-version,= 0.3.3 || = 0.4.3,npm
boring-avatars-vanilla,= 1.1.2 || = 1.2.2,npm
byte-parser,= 1.1.0 || = 1.2.0,npm
canvas-nest.js,= 2.1.4 || = 2.2.4,npm
echarts-for-react,= 3.1.7 || = 3.2.7,npm
filesize.js,= 2.1.0 || = 2.2.0,npm
fixed-round,= 1.1.2 || = 1.2.2,npm
gantt-for-react,= 0.3.0 || = 0.4.0,npm
jest-canvas-mock,= 2.6.3 || = 2.7.3,npm
jest-date-mock,= 1.1.11 || = 1.2.11,npm
jest-electron,= 0.2.12 || = 0.3.12,npm
jest-expect,= 0.1.1 || = 0.2.1,npm
jest-less-loader,= 0.3.0 || = 0.4.0,npm
jest-random-mock,= 1.1.0 || = 1.2.0,npm
jest-url-loader,= 0.2.0 || = 0.3.0,npm
limit-size,= 0.2.4 || = 0.3.4,npm
lint-md,= 0.3.0 || = 0.4.0,npm
lint-md-cli,= 0.2.2 || = 0.3.2,npm
mcp-echarts,= 0.8.1 || = 0.9.1,npm
mcp-mermaid,= 0.5.1 || = 0.6.1,npm
miz,= 1.1.1 || = 1.2.1,npm
onfire.js,= 2.1.1 || = 2.2.1,npm
openclaw-cn,= 0.3.0,npm
react-adsense,= 0.2.0 || = 0.3.0,npm
relationship.js,= 1.3.9 || = 1.4.9,npm
ribbon.js,= 1.1.2,npm
size-sensor,= 1.1.4 || = 1.2.4,npm
slice.js,= 1.2.1 || = 1.3.1,npm
timeago-react,= 3.1.7 || = 3.2.7,npm
timeago.js,= 4.1.2 || = 4.2.2,npm
uri-parse,= 1.1.0 || = 1.2.0,npm
word-width,= 1.1.1 || = 1.2.1,npm
xmorse,= 1.1.0 || = 1.2.0,npm
02-echo,= 0.0.7,npm
@accordproject/concerto-analysis,= 3.24.1,npm
@accordproject/concerto-linter,= 3.24.1,npm
@accordproject/concerto-linter-default-ruleset,= 3.24.1,npm
@accordproject/concerto-metamodel,= 3.12.5,npm
@accordproject/concerto-types,= 3.24.1,npm
@accordproject/markdown-it-cicero,= 0.16.26,npm
@accordproject/template-engine,= 2.7.2,npm
@actbase/css-to-react-native-transform,= 1.0.3,npm
@actbase/native,= 0.1.32,npm
@actbase/node-server,= 1.1.19,npm
@actbase/react-absolute,= 0.8.3,npm
@actbase/react-daum-postcode,= 1.0.5,npm
@actbase/react-kakaosdk,= 0.9.27,npm
@actbase/react-native-actionsheet,= 1.0.3,npm
@actbase/react-native-devtools,= 0.1.3,npm
@actbase/react-native-fast-image,= 8.5.13,npm
@actbase/react-native-kakao-channel,= 1.0.2,npm
@actbase/react-native-kakao-navi,= 2.0.4,npm
@actbase/react-native-less-transformer,= 1.0.6,npm
@actbase/react-native-naver-login,= 1.0.1,npm
@actbase/react-native-simple-video,= 1.0.13,npm
@actbase/react-native-tiktok,= 1.1.3,npm
@afetcan/api,= 0.0.13,npm
@afetcan/storage,= 0.0.27,npm
@alaan/s2s-auth,= 2.0.3,npm
@alexadark/amadeus-api,= 1.0.4,npm
@alexadark/gatsby-theme-events,= 1.0.1,npm
@alexadark/gatsby-theme-wordpress-blog,= 2.0.1,npm
@alexadark/reusable-functions,= 1.5.1,npm
@alexcolls/nuxt-socket.io,= 0.0.7 || = 0.0.8,npm
@alexcolls/nuxt-ux,= 0.6.1 || = 0.6.2,npm
@antstackio/eslint-config-antstack,= 0.0.3,npm
@antstackio/express-graphql-proxy,= 0.2.8,npm
@antstackio/graphql-body-parser,= 0.1.1,npm
@antstackio/json-to-graphql,= 1.0.3,npm
@antstackio/shelbysam,= 1.1.7,npm
@aryanhussain/my-angular-lib,= 0.0.23,npm
@asyncapi/avro-schema-parser,= 3.0.25 || = 3.0.26,npm
@asyncapi/bundler,= 0.6.5 || = 0.6.6,npm
@asyncapi/cli,= 4.1.2 || = 4.1.3,npm
@asyncapi/converter,= 1.6.3 || = 1.6.4,npm
@asyncapi/diff,= 0.5.1 || = 0.5.2,npm
@asyncapi/dotnet-rabbitmq-template,= 1.0.1 || = 1.0.2,npm
@asyncapi/edavisualiser,= 1.2.1 || = 1.2.2,npm
@asyncapi/generator,= 2.8.5 || = 2.8.6,npm
@asyncapi/generator-components,= 0.3.2 || = 0.3.3,npm
@asyncapi/generator-helpers,= 0.2.1 || = 0.2.2,npm
@asyncapi/generator-react-sdk,= 1.1.4 || = 1.1.5,npm
@asyncapi/go-watermill-template,= 0.2.76 || = 0.2.77,npm
@asyncapi/html-template,= 3.3.2 || = 3.3.3,npm
@asyncapi/java-spring-cloud-stream-template,= 0.13.5 || = 0.13.6,npm
@asyncapi/java-spring-template,= 1.6.1 || = 1.6.2,npm
@asyncapi/java-template,= 0.3.5 || = 0.3.6,npm
@asyncapi/keeper,= 0.0.2 || = 0.0.3,npm
@asyncapi/markdown-template,= 1.6.8 || = 1.6.9,npm
@asyncapi/modelina,= 5.10.2 || = 5.10.3,npm
