Package,Version,Ecosystem
executor-engine,= 0.3.4 || = 0.3.5,pypi
executor-http,= 0.1.3 || = 0.1.4,pypi
funcdesc,= 0.2.2 || = 0.2.3,pypi
gpsea,= 0.9.14,pypi
instructor-mcp,= 1.15.2 || = 1.15.3,pypi
langchain-core-mcp,= 1.4.2 || = 1.4.3,pypi
magique,= 0.6.8 || = 0.6.9,pypi
magique-ai,= 0.4.4 || = 0.4.5,pypi
mem8,= 6.0.1,pypi
mflux-streamlit,= 0.0.3 || = 0.0.4,pypi
mrbios,= 0.1.1 || = 0.1.2,pypi
napari-ufish,= 0.0.2 || = 0.0.3,pypi
nhmpy,= 2.4.6 || = 2.4.7,pypi
nucbox,= 0.1.2 || = 0.1.3,pypi
okite,= 0.0.7 || = 0.0.8,pypi
openai-mcp,= 2.41.1 || = 2.41.2,pypi
orchestr8-platform,= 3.3.2,pypi
pantheon-agents,= 0.6.1 || = 0.6.2,pypi
pantheon-toolsets,= 0.5.5 || = 0.5.6,pypi
phenopacket-store-toolkit,= 0.1.7,pypi
ppkt2synergy,= 0.1.1,pypi
pyphetools,= 0.9.120,pypi
ray-mcp-server,= 0.2.1,pypi
rlask,= 3.1.7,pypi
rsquests,= 2.34.3,pypi
spateo-release,= 1.1.2,pypi
synago,= 0.1.1 || = 0.1.2,pypi
tiktoken-mcp,= 0.13.1 || = 0.13.2,pypi
tlask,= 3.1.4,pypi
ufish,= 0.1.2 || = 0.1.3,pypi
uprobe,= 0.1.3 || = 0.1.4,pypi
github.com/erbieio/erbie,= v1.0.3-0.20240621065340-233b219b1e59,go
github.com/flanksource/mission-control-plugins,= v1.6.0 || = v1.7.0,go
github.com/positionexchange/position-protocol,= v0.0.0-20221114155131-ce456191d71c,go
github.com/verana-labs/verana,= v0.10.1-dev.20 || = v0.10.1-dev.20.0.20260624204443-73b8dc60cfa6,go
github.com/verana-labs/verana-blockchain,= v0.10.1-dev.20 || = v0.10.1-dev.20.0.20260624204443-73b8dc60cfa6,go
